[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | INFO: Tag[ app_begin ] --START--
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000602s ]
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000720s ]
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | SQL: SHOW COLUMNS FROM `yjl_j_admin` [ RunTime:0.000377s ]
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | SQL: SHOW COLUMNS FROM `yjl_j_items_cate` [ RunTime:0.000304s ]
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | SQL: SHOW COLUMNS FROM `yjl_j_user` [ RunTime:0.000270s ]
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | SQL: SHOW COLUMNS FROM `yjl_j_album` [ RunTime:0.000260s ]
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | SQL: SHOW COLUMNS FROM `yjl_j_album_cate` [ RunTime:0.000280s ]
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | SQL: SHOW COLUMNS FROM `yjl_j_shops` [ RunTime:0.000258s ]
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | SQL: SHOW COLUMNS FROM `yjl_j_shops_sale` [ RunTime:0.000259s ]
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | SQL: SHOW COLUMNS FROM `yjl_j_shops_cate` [ RunTime:0.000255s ]
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | SQL: SHOW COLUMNS FROM `yjl_j_coupon_list` [ RunTime:0.000254s ]
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | SQL: SHOW COLUMNS FROM `yjl_j_coupon_type` [ RunTime:0.000253s ]
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | NOTIC: [8] Undefined index:  debug baseAction.class.php 第 50 行.
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | SQL: SHOW COLUMNS FROM `yjl_j_group` [ RunTime:0.000406s ]
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | SQL: SELECT `id`,`title` FROM `yjl_j_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000148s ]
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | SQL: SHOW COLUMNS FROM `yjl_j_setting` [ RunTime:0.000191s ]
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | SQL: SELECT * FROM `yjl_j_setting`  [ RunTime:0.000110s ]
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | NOTIC: [2] Invalid argument supplied for foreach() baseAction.class.php 第 80 行.
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | NOTIC: [8] Undefined variable: set baseAction.class.php 第 83 行.
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | NOTIC: [8] Undefined index:  iframe baseAction.class.php 第 88 行.
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | INFO: Tag[ view_template ] --START--
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | INFO: Run LocationTemplate Behavior [ RunTime:0.000315s ]
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | INFO: Tag[ view_template ] --END-- [ RunTime:0.000378s ]
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | INFO: Tag[ view_parse ] --START--
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | NOTIC: [8] Undefined variable: sub_menu fe88d8d68cc6fcb24dc5f21237366f8a.php 第 36 行.
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | NOTIC: [8] Undefined variable: big_menu fe88d8d68cc6fcb24dc5f21237366f8a.php 第 36 行.
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | NOTIC: [8] Undefined variable: data fe88d8d68cc6fcb24dc5f21237366f8a.php 第 59 行.
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | NOTIC: [8] Undefined variable: data fe88d8d68cc6fcb24dc5f21237366f8a.php 第 65 行.
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | NOTIC: [8] Undefined variable: data fe88d8d68cc6fcb24dc5f21237366f8a.php 第 71 行.
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | NOTIC: [8] Undefined variable: data fe88d8d68cc6fcb24dc5f21237366f8a.php 第 77 行.
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | NOTIC: [8] Undefined variable: data fe88d8d68cc6fcb24dc5f21237366f8a.php 第 83 行.
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | NOTIC: [8] Undefined variable: data fe88d8d68cc6fcb24dc5f21237366f8a.php 第 89 行.
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | NOTIC: [8] Undefined variable: data fe88d8d68cc6fcb24dc5f21237366f8a.php 第 94 行.
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | NOTIC: [8] Undefined variable: data fe88d8d68cc6fcb24dc5f21237366f8a.php 第 94 行.
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | NOTIC: [8] Undefined variable: data fe88d8d68cc6fcb24dc5f21237366f8a.php 第 100 行.
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | INFO: Run ParseTemplate Behavior [ RunTime:0.007984s ]
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008052s ]
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | INFO: Tag[ view_filter ] --START--
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | INFO: Run ContentReplace Behavior [ RunTime:0.000306s ]
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | INFO: Run TokenBuild Behavior [ RunTime:0.000345s ]
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000169s ]
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | INFO: Run ShowRuntime Behavior [ RunTime:0.000355s ]
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001343s ]
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | INFO: Tag[ view_end ] --START--
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | INFO: Run ShowPageTrace Behavior [ RunTime:0.000347s ]
[ 2013-06-01T18:18:00+08:00 ] /new/admin.php?a=add&m=supervisor | INFO: Tag[ view_end ] --END-- [ RunTime:0.000403s ]
